№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
270,Dami,"улица Туркестан, 34, Астана",+77779444747,4.7,2016,318,7500 тнг,"Лучшее кафе 2025, Чек 7500 тнг",https://2gis.kz/astana/firm/70000001032715428,cafe_0270.html
271,Soprano,"улица Сарайшык, 13, Астана",+77021247676,4.7,743,149,Не указано,"Пандус, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001092558674,cafe_0271.html
272,Future restaurant,"улица Амман, 21а, Астана",+77001498899,4.7,233,84,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001109842925,cafe_0272.html
273,Ozero,"улица Жалтырколь, 15, с. Жалтырколь",+77763322266,4.7,111,57,Не указано,Кафе,https://2gis.kz/nur_sultan/firm/70000001106049304,cafe_0273.html
274,Kish Mish,"улица Габидена Мустафина, 28, Астана",+77087264131,4.7,1120,172,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001047981159,cafe_0274.html
275,Aq Anyz,"улица Динмухамед Конаев, 14г, Астана",+77780996688,4.8,1587,47,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001033158649,cafe_0275.html
276,Блок питания,"Гете улица, 4, Астана",+77017499847,4.9,559,160,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001083444766,cafe_0276.html
277,Mamyr Cafe,"улица Карасакал Еримбет, 37, Астана",+77070247000,4.7,4353,306,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001060296055,cafe_0277.html
278,Sultani,"улица Куйши Дина, 4/3, Астана",+77076020707,4.6,7430,559,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001055250285,cafe_0278.html
279,Каусар,"проспект Туран, 39а, Астана",+77778228817,4.7,4356,663,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001092518472,cafe_0279.html
280,Sandyq,"улица Сарайшык, 34/3, Астана",+77779191122,4.8,2131,868,20000 тнг,Чек 20000 тнг,https://2gis.kz/astana/firm/70000001086860585,cafe_0280.html
281,Ginza,"проспект Туран, 15, Астана",+77773337033,4.8,1425,302,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001036217339,cafe_0281.html
282,Каусар,"улица Достык, 13, Астана",+77772771082,4.6,4442,709,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001094584929,cafe_0282.html
283,Nino,"улица Акмешит, 1 блок 1, Астана",+77028808000,4.6,244,134,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001100228776,cafe_0283.html
284,Bao Sushi&Noodles Bar,"проспект Туран, 22/1, Астана",+77767706900,4.8,1508,662,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001094695514,cafe_0284.html
285,Del Papa,"Кабанбай батыр проспект, 34, Астана",+77717228197,4.7,1336,395,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001018065400,cafe_0285.html
286,Panno,"улица Достык, 13, Астана",+77079526090,4.7,683,420,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001069577746,cafe_0286.html
287,Six Coffee+Wine,"улица Акмешит, 1 блок 3, Астана",+77776964696,4.7,2162,717,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001088097597,cafe_0287.html
288,Sultani,"ЖК Северное сияние, улица Достык, 5, Астана",+77076020707,4.7,2782,565,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001089434119,cafe_0288.html
289,Панаехали,"улица Достык, 18, Астана",+77088003333,4.2,1637,126,Не указано,"Заказ столиков, Живая музыка, VIP-зал, Танцпол, Широкий лифт",https://2gis.kz/astana/firm/70000001061368949,cafe_0289.html
290,Sultani,"проспект Республики, 16/2, Астана",+77076020707,4.7,3239,257,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001086700355,cafe_0290.html
291,Барыс,"улица Ушкултай Субханбердина, 30, Астана",+77713182369,4.4,663,109,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001025094758,cafe_0291.html
292,Frito,"проспект Республики, 30, Астана",+77009360000,4.6,117,28,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109579027,cafe_0292.html
293,Ahó,"улица Акмешит, 1 блок 6, Астана",+77080809999,4.6,476,264,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001089234583,cafe_0293.html
294,Selfie,"улица Достык, 16, Астана",+77770000515,4.6,342,127,22000 тнг,Чек 22000 тнг,https://2gis.kz/astana/firm/70000001028338057,cafe_0294.html
295,La Creme,"проспект Мангилик Ел, 53, Астана",+77085559700,4.6,1666,521,Не указано,"Кофе с собой, Чай с собой, Смузи, Молочные коктейли, Свежевыжатые соки",https://2gis.kz/astana/firm/70000001022996764,cafe_0295.html
296,Hola-Hola,"улица Сыганак, 18, Астана",+77009005900,4.9,998,256,4150 тнг,Чек 4150 тнг,https://2gis.kz/astana/firm/70000001102761951,cafe_0296.html
297,Pasta La Vista,"улица Акмешит, 1 блок 4, Астана",+77776965696,4.9,4137,1428,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001088021790,cafe_0297.html
298,Hungry Rabbit,"улица Сакена Сейфуллина, 38, Астана",+77015222238,4.8,5206,812,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001018067856,cafe_0298.html
299,Turandot,"улица Туркестан, 34, Астана",+77770119005,4.7,2568,326,5000 тнг,"Лучший ресторан 2025, Чек 5000 тнг",https://2gis.kz/astana/firm/70000001038845439,cafe_0299.html
300,Peek-a-boo,"улица Динмухамед Конаев, 12/1, Астана",+77788181778,4.8,4506,848,5500 тнг,Чек 5500 тнг,https://2gis.kz/astana/firm/70000001046956645,cafe_0300.html
301,Frito,"проспект Ракымжан Кошкарбаев, 36, Астана",+77009360000,4.6,86,55,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109499437,cafe_0301.html
302,Line Brew,"улица Кенесары, 20, Астана",+77172321026,4.7,781,238,20000 тнг,"Лучший ресторан 2025, Чек 20000 тнг",https://2gis.kz/astana/firm/70000001018069671,cafe_0302.html
303,Шишка Premium,"Бухар жырау улица, 28, Астана",+77779990220,4.6,1019,207,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001079642771,cafe_0303.html
304,Frito,"Аль-Фараби проспект, 13п, Астана",+77009360000,4.4,194,17,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109525729,cafe_0304.html
305,Qauap_food,"проспект Мангилик Ел, 48, Астана",+77023116088,4.9,2525,397,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001098285683,cafe_0305.html
306,Del Papa,"проспект Республики, 10, Астана",+77717228196,4.6,767,416,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001038212283,cafe_0306.html
307,Tangiers lounge,"улица Акмешит, 1 блок 7, Астана",+77767750008,4.8,1353,166,Не указано,"Винная карта, VIP-зал, Летняя веранда, Бургеры, Паста",https://2gis.kz/astana/firm/70000001088099502,cafe_0307.html
308,Janym soul,"улица Беимбет Майлин, 37а, Астана",+77020616666,4.7,2549,212,Не указано,"Пандус, Подъёмник, Широкий лифт, Нет двери / есть автоматическая дверь",https://2gis.kz/astana/firm/70000001043815193,cafe_0308.html
309,Каусар,"улица Жанайдар Жирентаев, 2в, Астана",+77771139292,4.7,1593,382,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001100863596,cafe_0309.html
310,Bakerist,"проспект Мангилик Ел, 22, Астана",+77770017080,4.6,2575,770,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001089343475,cafe_0310.html
311,Lou Lou,"улица Достык, 13, Астана",+77778081888,4.8,784,450,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001063404829,cafe_0311.html
312,Line Brew Reserve,"улица Кадыргали Жалайыри, 4, Астана",+77010688800,4.8,2256,415,15000 тнг,"Лучший ресторан 2025, Лучший ресторан 2023, Чек 15000 тнг",https://2gis.kz/astana/firm/70000001039971956,cafe_0312.html
313,Oblako,"улица Динмухамед Конаев, 33, Астана",+77761113663,4.7,1727,184,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001060878292,cafe_0313.html
314,Угли,"проспект Туран, 21а, Астана",+77006060800,4.7,2590,190,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001083911738,cafe_0314.html
315,Turandot,"улица Кайым Мухамедханов, 5, Астана",+77778703277,4.7,1764,222,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001083765300,cafe_0315.html
316,Frito,"Аль-Фараби проспект, 13п, Астана",+77009360000,4.4,194,17,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109525729,cafe_0316.html
317,Qauap_food,"проспект Мангилик Ел, 48, Астана",+77023116088,4.9,2525,397,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001098285683,cafe_0317.html
318,Del Papa,"проспект Республики, 10, Астана",+77717228196,4.6,767,416,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001038212283,cafe_0318.html
319,Tangiers lounge,"улица Акмешит, 1 блок 7, Астана",+77767750008,4.8,1353,166,Не указано,"Винная карта, VIP-зал, Летняя веранда, Бургеры, Паста",https://2gis.kz/astana/firm/70000001088099502,cafe_0319.html
320,Janym soul,"улица Беимбет Майлин, 37а, Астана",+77020616666,4.7,2549,212,Не указано,"Пандус, Подъёмник, Широкий лифт, Нет двери / есть автоматическая дверь",https://2gis.kz/astana/firm/70000001043815193,cafe_0320.html
321,Каусар,"улица Жанайдар Жирентаев, 2в, Астана",+77771139292,4.7,1593,382,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001100863596,cafe_0321.html
322,Bakerist,"проспект Мангилик Ел, 22, Астана",+77770017080,4.6,2575,770,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001089343475,cafe_0322.html
323,Lou Lou,"улица Достык, 13, Астана",+77778081888,4.8,784,450,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001063404829,cafe_0323.html
324,Line Brew Reserve,"улица Кадыргали Жалайыри, 4, Астана",+77010688800,4.8,2256,415,15000 тнг,"Лучший ресторан 2025, Лучший ресторан 2023, Чек 15000 тнг",https://2gis.kz/astana/firm/70000001039971956,cafe_0324.html
325,Oblako,"улица Динмухамед Конаев, 33, Астана",+77761113663,4.7,1727,184,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001060878292,cafe_0325.html
326,Угли,"проспект Туран, 21а, Астана",+77006060800,4.7,2590,190,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001083911738,cafe_0326.html
327,Turandot,"Жанибек хандар улица, 18, Астана",+77172546491,4.8,1971,194,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001019594023,cafe_0327.html
328,Et-Et,"улица Елубай Тайбеков, 14, Астана",+77020015555,4.6,2995,356,3600 тнг,Чек 3600 тнг,https://2gis.kz/astana/firm/70000001048776913,cafe_0328.html
329,Наша дача,"улица Динмухамед Конаев, 14п, Астана",+77783241881,4.7,1084,352,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001036027241,cafe_0329.html
330,Chia,"улица Динмухамед Конаев, 12/2, Астана",+77782940731,4.8,558,279,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001058917596,cafe_0330.html
331,Скандалистъ,"проспект Туран, 3, Астана",+77088883399,4.6,349,120,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001074750604,cafe_0331.html
332,Sushiman,"Кабанбай батыр проспект, 58Б к1, Астана",+77077788300,4.8,8736,1835,9000 тнг,Чек 9000 тнг,https://2gis.kz/astana/firm/70000001024110168,cafe_0332.html
333,AMOUR,"ЖК Северное сияние, улица Достык, 5, Астана",+77051471038,3.1,443,434,Не указано,"Коктейльный бар, Летняя веранда, Столики на улице, Танцпол, Панорамный вид",https://2gis.kz/astana/firm/70000001061444774,cafe_0333.html
334,DB Food,"улица Толе би, 48, Астана",+77075202023,4.2,202,51,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001110408724,cafe_0334.html
335,Arzu,"Амангельды Иманова улица, 40/2, Астана",+77028886161,4.3,1017,228,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001056927460,cafe_0335.html
336,The Monkey,"улица Кайым Мухамедханов, 5, Астана",+77088880005,4.5,216,79,20000 тнг,Чек 20000 тнг,https://2gis.kz/astana/firm/70000001095569743,cafe_0336.html
337,Balyq Je,"улица Орынбор, 12 Блок 1, Астана",+77077600404,4.8,1388,389,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001100582836,cafe_0337.html
338,La Creme,"улица Амман, 21, Астана",+77085559700,4.7,496,343,Не указано,"Лучшая кондитерская 2025, Лучшая кондитерская 2023, Кофе с собой, Bubble Tea, Чай с собой",https://2gis.kz/astana/firm/70000001080624588,cafe_0338.html
339,Pantheon,"улица Динмухамед Конаев, 14, Астана",+77052900808,4.8,541,184,Не указано,"Заказ столиков, Винная карта, Живая музыка, Спортивные трансляции, VIP-зал",https://2gis.kz/astana/firm/70000001100733321,cafe_0339.html
340,Revolving,"улица Сыганак, 45, Астана",+77014401576,4.8,915,254,20000 тнг,Чек 20000 тнг,https://2gis.kz/astana/firm/70000001018072428,cafe_0340.html
341,Огонёк,"проспект Магжана Жумабаева, 34/7, Астана",+77052018999,4.8,4349,326,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001058733667,cafe_0341.html
342,Chaihana NAVAT,"проспект Мангилик Ел, 27, Астана",+77776731111,4.9,5582,687,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001069294638,cafe_0342.html
343,Korean home food by Ellina Tyan,"улица Достык, 4, Астана",+77476493927,4.6,795,334,Не указано,"Доставка wok, Вторые блюда, Корпоративные обеды, Салаты, Кофе",https://2gis.kz/astana/firm/70000001057187816,cafe_0343.html
344,Донер на Абая,"улица Касыма Аманжолова, 28, Астана",+77087671002,4.8,2623,205,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001093340825,cafe_0344.html
345,Balyk fish,"улица Сыганак, 11, Астана",+77478010524,4.6,1067,275,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001094717711,cafe_0345.html
346,Рыба Пила,"проспект Туран, 22, Астана",+77056052222,4.9,961,456,15000 тнг,"Лучший ресторан 2025, Чек 15000 тнг",https://2gis.kz/astana/firm/70000001045463273,cafe_0346.html
347,Shafran,"улица Е 669, 9а, Астана",+77474369282,4.8,1111,189,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001097359167,cafe_0347.html
348,Мико,"улица Балкантау, 129, Астана",+77014427777,4.5,3308,340,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001040604576,cafe_0348.html
349,Botanika by Feelka,"улица Акмешит, 13, Астана",+77022696924,4.6,1620,531,Не указано,"Суши, Пицца, Салаты, Пандус, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001062365844,cafe_0349.html
350,Огонёк,"улица Караоткель, 58, Астана",+77079901193,4.7,2207,226,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001081244148,cafe_0350.html
351,Саксаул,"ЖК Северное сияние, улица Достык, 5, Астана",+77172475959,4.8,1360,665,10000 тнг,"Лучший ресторан 2022, Чек 10000 тнг",https://2gis.kz/astana/firm/70000001027565666,cafe_0351.html
352,Панаехали,"проспект Туран, 21, Астана",+77001688008,4.6,2036,150,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001086838789,cafe_0352.html
353,Bauyrdaq,"улица Сыганак, 17п, Астана",+77054199339,4.8,2365,326,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001068898146,cafe_0353.html
354,Okadzaki.kz,"проспект Ракымжан Кошкарбаев, 48, Астана",+77773333333,4.5,2747,198,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Завтраки",https://2gis.kz/astana/firm/70000001062280019,cafe_0354.html
355,Bizou,"улица Сарайшык, 34/5, Астана",+77010121011,4.4,138,92,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001103338948,cafe_0355.html
356,Взлётный,"Кабанбай батыр проспект, 34, Астана",+77072588505,4.8,1416,238,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001025762643,cafe_0356.html
357,Гол+Пас,"улица Касыма Аманжолова, 26, Астана",+77172258445,4.8,617,141,Не указано,"Лучший бар 2025, Английский паб, Европейская кухня, Заказ столиков, Заказ навынос",https://2gis.kz/astana/firm/70000001037758194,cafe_0357.html
358,Balyk fish,"проспект Мангилик Ел, 51, Астана",+77476607426,4.6,724,228,Не указано,"До 60 мест, Салаты, Жареная рыба, Доставка",https://2gis.kz/astana/firm/70000001097304315,cafe_0358.html
359,Osoba,"улица Желтоксан, 39, Астана",+77786333034,4.5,1061,244,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001019431827,cafe_0359.html
360,Bao Sushi&Noodles Bar,"улица Достык, 18, Астана",+77787447495,4.8,1430,433,Не указано,"Суши, Доставка wok, Салаты, Супы",https://2gis.kz/astana/firm/70000001050197128,cafe_0360.html
361,The Bus,"шоссе Коргалжын, 3, Астана",+77773334999,4.5,670,176,Не указано,"Пандус, Туалет для маломобильных людей, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001030200500,cafe_0361.html
362,Chaihana NAVAT,"улица Сарайшык, 34Б, Астана",+77776731111,4.9,1517,202,Не указано,Кафе,https://2gis.kz/astana/firm/70000001097056120,cafe_0362.html
363,Garage Music Bar,"Александр Кравцов улица, 6, Астана",+77011791111,4.7,1239,247,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001040186914,cafe_0363.html
364,Chaihana NAVAT,"улица Достык, 13, Астана",+77776731111,4.9,7177,913,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001042659424,cafe_0364.html
365,Sunduk,"Жанибек хандар улица, 14/2, Астана",+77010707072,4.3,1142,201,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001025740389,cafe_0365.html
366,La Creme,"улица Сыганак, 17Б, Астана",+77085559700,4.8,664,59,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001055559869,cafe_0366.html
367,Berёzka,"проспект Мангилик Ел, 55а, Астана",+77710006006,4.4,804,308,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001064868442,cafe_0367.html
368,Level Sky,"улица Сыганак, 45, Астана",+77012021313,4.6,1146,129,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001037596229,cafe_0368.html
369,Bauyrdaq,"улица Каныш Сатпаев, 22, Астана",+77082100323,4.7,2847,485,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001062015293,cafe_0369.html
370,Панаехали,"проспект Абылай хана, 26/2, Астана",+77718777999,4.5,1414,81,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001055769380,cafe_0370.html
371,Dubai.time,"шоссе Коргалжын, 2, Астана",+77002572591,4.3,429,103,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001083690116,cafe_0371.html
372,Bauyrdaq,"улица Сыганак, 62/3, Астана",+77779330037,4.7,1353,217,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001098488909,cafe_0372.html
373,Донер на Абая,"улица Кайым Мухамедханов, 6Б, Астана",+77081984509,4.9,956,59,Не указано,"Шавермы, Шаурма",https://2gis.kz/astana/firm/70000001105184387,cafe_0373.html
374,Mamyr Cafe,"проспект Нургиса Тлендиева, 153, Астана",+77070247000,4.7,1030,81,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001084103565,cafe_0374.html
375,Osoba,"улица Алексея Петрова, 34, Астана",+77753002235,4.3,1256,261,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001019816000,cafe_0375.html
376,Okadzaki.kz,"проспект Туран, 55, Астана",+77773333333,4.6,2451,208,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Десерты",https://2gis.kz/astana/firm/70000001077394397,cafe_0376.html
377,Carlin,"улица Гейдара Алиева, 1, Астана",+77008001122,4.7,103,46,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001101700278,cafe_0377.html
378,TOOMAN,"проспект Бауыржан Момышулы, 2в, Астана",+77479902022,4.9,1695,115,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001045544201,cafe_0378.html
379,Донер на Абая,"проспект Туран, 55, Астана",+77718377148,4.9,3040,170,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001095194693,cafe_0379.html
380,Шишка Premium,"Кабанбай батыр проспект, 5/3, Астана",+77011995559,4.7,867,93,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001056373737,cafe_0380.html
381,Пивоварофф,"проспект Туран, 31, Астана",+77011004988,4.4,373,86,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001080505078,cafe_0381.html
382,Дареджани,"Кабанбай батыр проспект, 34, Астана",+77717228290,4.7,1882,410,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001018089424,cafe_0382.html
383,Sazan fish,"улица Шамши Калдаяков, 23а, Астана",+77007170207,4.4,730,314,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001094188645,cafe_0383.html
384,Донер на Абая,"улица Алексея Петрова, 13, Астана",+77052921544,4.8,2798,258,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001089793707,cafe_0384.html
385,Et-Et,"проспект Абая, 13, Астана",+77020015555,4.7,5548,702,3875 тнг,Чек 3875 тнг,https://2gis.kz/astana/firm/70000001056716743,cafe_0385.html
386,Tanuki,"проспект Туран, 39а, Астана",+77273393030,4.8,1942,625,Не указано,Кафе,https://2gis.kz/astana/firm/70000001093451570,cafe_0386.html
387,Shoreditch,"Кабанбай батыр проспект, 7, Астана",+77779994114,4.8,1693,213,15000 тнг,"Лучший бар 2023, Чек 15000 тнг",https://2gis.kz/astana/firm/70000001021440876,cafe_0387.html
388,Bistro Köktem,"улица Кенесары, 32, Астана",+77013127777,4.8,1079,479,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001100839755,cafe_0388.html
389,Шишка Premium,"улица Анет баба, 7а, Астана",+77007770333,4.8,336,39,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001093349290,cafe_0389.html
390,Угли,"проспект Мангилик Ел, 17, Астана",+77080606303,4.9,698,217,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001102752674,cafe_0390.html
391,Okadzaki.kz,"улица Кенжебек Кумисбеков, 2, Астана",+77773333333,4.6,3214,426,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Завтраки",https://2gis.kz/astana/firm/70000001063838349,cafe_0391.html
392,Mokki,"улица Достык, 16, Астана",+77172734000,4.4,585,265,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001028064098,cafe_0392.html
393,На крыше,"улица Кадыргали Жалайыри, 2, Астана",+77778080909,4.6,290,161,20000 тнг,Чек 20000 тнг,https://2gis.kz/astana/firm/70000001018106274,cafe_0393.html
394,SF,"проспект Улы Дала, 65, Астана",+77777888888,4.1,5272,587,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001059088928,cafe_0394.html
395,Угли,"улица Динмухамед Конаев, 29/1, Астана",+77005702929,Нет рейтинга,286,86,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001110017264,cafe_0395.html
396,Тагам,"улица Динмухамед Конаев, 14, Астана",+77015890758,4.5,1607,244,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001031322899,cafe_0396.html
397,Shio Izakaya,"улица Достык, 8, Астана",+77084800033,4.7,387,336,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001100105093,cafe_0397.html
398,Донер на Абая,"проспект Мангилик Ел, 51, Астана",+77088043937,4.7,2318,286,Не указано,Шаурма,https://2gis.kz/astana/firm/70000001094258724,cafe_0398.html
399,Fullers,"улица Желтоксан, 2т, Астана",+77087042323,4.8,550,313,10000 тнг,"Лучший бар 2025, Лучший бар 2023, Лучший бар 2022, Чек 10000 тнг",https://2gis.kz/astana/firm/70000001038416972,cafe_0399.html
400,Донер на Абая,"улица Илияс Омаров, 2, Астана",+77756890218,4.9,6358,293,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001088913128,cafe_0400.html
401,Pizza uno,"улица Алихан Бокейхан, 24, Астана",+77471118118,4.5,393,175,Не указано,"Итальянская кухня, Завтрак, Заказ навынос, До 9 мест, Доставка",https://2gis.kz/astana/firm/70000001080448588,cafe_0401.html
402,Tangiers lounge,"микрорайон Самал, 11, Астана",+77767750009,4.9,794,196,Не указано,"Суши, Паста, Стейки, Том-Ям, Салаты",https://2gis.kz/astana/firm/70000001088099523,cafe_0402.html
403,Chia,"улица Шамши Калдаяков, 3, Астана",+77058118938,4.7,437,270,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001089823255,cafe_0403.html
404,Leto Cafe,"улица Достык, 8Б, Астана",+77005050502,4.4,603,96,Не указано,"Винная карта, VIP-зал, Летняя веранда, До 80 мест, Шаурма",https://2gis.kz/astana/firm/70000001061026053,cafe_0404.html
405,Барыс 2,"улица Ушкултай Субханбердина, 8, Астана",+77026722129,4.6,271,87,5500 тнг,Чек 5500 тнг,https://2gis.kz/astana/firm/70000001059048104,cafe_0405.html
406,Гол+Пас,"Аль-Фараби проспект, 9, Астана",+77772901449,4.8,501,113,Не указано,"Спортивный бар, Европейская кухня, Заказ столиков, Меню на английском, Живая музыка",https://2gis.kz/astana/firm/70000001083689942,cafe_0406.html
407,Okadzaki.kz,"проспект Улы Дала, 41а, Астана",+77773333333,4.7,229,66,Не указано,Кафе,https://2gis.kz/astana/firm/70000001105808913,cafe_0407.html
408,Nesibe,"проспект Бауыржан Момышулы, 16, Астана",+77081782938,4.8,661,315,3200 тнг,Чек 3200 тнг,https://2gis.kz/astana/firm/70000001097164128,cafe_0408.html
409,Delish,"улица Кайым Мухамедханов, 11/1, Астана",+77752059509,4.8,2007,501,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001059437574,cafe_0409.html
410,Грузин Кузин,"улица Динмухамед Конаев, 14, Астана",+77020079880,4.8,2087,670,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001081673773,cafe_0410.html
411,Шишка Premium,"улица Сыганак, 42, Астана",+77017072020,4.7,122,22,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001100626781,cafe_0411.html
412,Okadzaki.kz,"улица Сыганак, 15, Астана",+77773333333,4.6,2610,156,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Десерты",https://2gis.kz/astana/firm/70000001057548497,cafe_0412.html
413,Sharbak,"проспект Богенбай батыра, 42, Астана",+77089178728,4.6,691,139,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001080368396,cafe_0413.html
414,Coffee BOOM,"Кабанбай батыр проспект, 5Б, Астана",+77018883675,4.7,1952,211,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001044891056,cafe_0414.html
