№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
2769,Grace,"улица Достык, 9, Астана",+77714083380,Нет рейтинга,0,0,Не указано,"Европейская кухня, Завтрак 08:00-13:00, До 80 мест",https://2gis.kz/astana/firm/70000001111524240,cafe_2769.html
2770,Altyn Qazan,"Кабанбай батыр проспект, 42, Астана",+77066068686,Нет рейтинга,0,27,Не указано,"Заказ навынос, До 35 мест",https://2gis.kz/astana/firm/70000001111573604,cafe_2770.html
2771,Tavola Verde,"улица Туркестан, 28а, Астана",+77052825083,Нет рейтинга,0,37,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001111583960,cafe_2771.html
2772,Столовая,"улица Бактыораза Бейсекбаева, 29, Астана",+77475252215,4.1,9,6,Не указано,Кафе,https://2gis.kz/astana/firm/70000001034564562,cafe_2772.html
2773,Киоск тандырной самсы,"Алиби Жангельдина улица, 31/1а, Астана",+77008830000,Нет рейтинга,0,1,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110271315,cafe_2773.html
2774,Киоск фастфуда,"улица Габит Мусрепов, 13 киоск, Астана",+77075846672,4.8,30,13,Не указано,"Шаурма, Бургеры, Картофель-фри, Крылышки, Чай с собой",https://2gis.kz/astana/firm/70000001103541757,cafe_2774.html
2775,Киоск фастфуда,"проспект Республики, 45/6 киоск, Астана",+77781834902,3.5,41,6,Не указано,"Шаурма, Самса, Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001031966299,cafe_2775.html
2776,Киоск фастфуда,"проспект Республики, 45/2 киоск, Астана",+77769773155,3.6,10,12,Не указано,"Шавермы, Шаурма, Куры-гриль, Чай с собой",https://2gis.kz/astana/firm/70000001027296496,cafe_2776.html
2777,Ереке,"улица Кобыз, 30, Астана",+77025303538,4.8,12,5,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001089699783,cafe_2777.html
2778,Столовая,"улица Кокжелек, 50, Астана",+77476775336,4.4,13,4,1199 тнг,Чек 1199 тнг,https://2gis.kz/astana/firm/70000001096902434,cafe_2778.html
2779,Киоск быстрого питания,"улица Сыганак, 4/1д, Астана",Не указано,4.2,22,2,Не указано,"Шавермы, Заказ навынос, Шаурма, Куры-гриль, Самса",https://2gis.kz/astana/firm/70000001102597570,cafe_2779.html
2780,Столовая,"Астана, Астана",+77075429560,2.6,2,0,Не указано,Кафе,https://2gis.kz/astana/firm/70000001069926162,cafe_2780.html
2781,Шашлык на Фурманова,"улица Шары Жиенкуловой, 6/11, Астана",+77008830000,Нет рейтинга,0,2,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111515640,cafe_2781.html
2782,Киоск быстрого питания,"улица Габидена Мустафина, 21/6а киоск, Астана",+77052444573,3.5,8,3,Не указано,"Шаурма, Пышки, Самса, Крылышки",https://2gis.kz/astana/firm/70000001088213385,cafe_2782.html
2783,Киоск фастфуда,"улица Габидена Мустафина, 15а киоск, Астана",+77020689259,2.3,38,2,Не указано,"Шаурма, Самса",https://2gis.kz/astana/firm/70000001037884788,cafe_2783.html
2784,Киоск лепешек,"проспект Богенбай батыра, 60/4, Астана",Не указано,Нет рейтинга,2,2,Не указано,"Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001082648612,cafe_2784.html
2785,Лагманхана,"шоссе Алаш, 35/2, Астана",+77752443070,3.7,6,1,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001053710577,cafe_2785.html
2786,Dam tat,"проспект Богенбай батыра, 69, Астана",+77008444570,Нет рейтинга,0,0,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001105156068,cafe_2786.html
2787,Киоск фастфуда,"улица Шалкоде, 1/3, Астана",+77080404020,3.9,9,7,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001062845622,cafe_2787.html
2788,Шашлычная,"проспект Богенбай батыра, 67 киоск, Астана",+77783246881,3.8,36,11,Не указано,"Шашлычные, До 16 мест, Шашлык, Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001088788468,cafe_2788.html
2789,Быстрое питание,"улица Шалкоде, 2Б киоск, Астана",Не указано,1.9,4,2,Не указано,До 10 мест,https://2gis.kz/astana/firm/70000001096806681,cafe_2789.html
2790,Калеке,"улица Талапкерская, 14а, Астана",Не указано,4.7,8,2,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001029205723,cafe_2790.html
2791,Киоск фастфуда,"проспект Богенбай батыра, 34/4 киоск, Астана",Не указано,3.4,22,6,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001027383648,cafe_2791.html
2792,Столовая,"проспект Акжол, 52, Астана",+77475252215,2.7,4,2,Не указано,Ланч от 1500 тнг,https://2gis.kz/astana/firm/70000001096329488,cafe_2792.html
2793,ProVkys Premium,"Таха Хусейна улица, 15/3, Астана",+77015128315,4.8,39,53,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001096096178,cafe_2793.html
